iter	F1	Logloss
0	0.6388642413	0.6199799178
1	0.650877193	0.547280868
2	0.5929752066	0.4889415428
3	0.5648351648	0.463179879
4	0.5923632611	0.4384010106
5	0.5896076352	0.4120434835
6	0.7402985075	0.3593590915
7	0.7738095238	0.332584581
8	0.8290840415	0.2917267992
9	0.8566210046	0.2573496159
10	0.8818755636	0.2242866072
11	0.8890892696	0.1962099793
12	0.8981064022	0.1726110141
13	0.9273049645	0.1520977399
14	0.9474605954	0.1426435183
15	0.9574283232	0.1316534385
16	0.9601386482	0.1256001148
17	0.9627059844	0.1201556459
18	0.9627059844	0.1138225425
19	0.9645021645	0.1035223207
20	0.9653379549	0.09554391417
21	0.9706896552	0.08812391456
22	0.9742268041	0.08116910905
23	0.9742268041	0.07788050895
24	0.9794871795	0.07198717503
25	0.9794871795	0.0683861301
26	0.9803586678	0.06629571622
27	0.9812286689	0.06333840777
28	0.9812286689	0.06185711066
29	0.9820971867	0.05941022317
30	0.9820971867	0.05749998151
31	0.9846678024	0.05541637811
32	0.9846678024	0.0527885636
33	0.9846678024	0.05006021581
34	0.9855072464	0.04864489899
35	0.9855072464	0.04584262001
36	0.9880952381	0.04446308243
37	0.9889361702	0.04311270332
38	0.9880952381	0.04034530146
39	0.9889361702	0.03896866669
40	0.9897959184	0.03813357218
41	0.9906382979	0.03681960736
42	0.9897959184	0.03614853081
43	0.9897959184	0.03552049442
44	0.9897959184	0.03442366147
45	0.9897959184	0.03439201443
46	0.9906382979	0.03375667262
47	0.9906382979	0.03357728115
48	0.9906382979	0.03353566339
49	0.9897959184	0.03156361588
50	0.9897959184	0.03113468325
51	0.9897959184	0.03112199884
52	0.9906542056	0.03056310365
53	0.9914965986	0.02957560236
54	0.9906542056	0.02956088712
55	0.9906542056	0.02936015071
56	0.9906542056	0.0293559108
57	0.9906542056	0.02855558069
58	0.9906542056	0.02776290463
59	0.9906542056	0.02746925635
60	0.9906542056	0.02743361177
61	0.9906542056	0.026875388
62	0.9906542056	0.02683868008
63	0.9906542056	0.02622041507
64	0.9906542056	0.02584667377
65	0.9906542056	0.02541028426
66	0.9915110357	0.02511005221
67	0.9915110357	0.02374861804
68	0.9915110357	0.02371036325
69	0.9915110357	0.02368639935
70	0.9923664122	0.02359731955
71	0.9923664122	0.02353874604
72	0.9932088285	0.02287193661
73	0.9932088285	0.02281518952
74	0.9932088285	0.02275542896
75	0.9932088285	0.02271650354
76	0.9932088285	0.02269322848
77	0.9932088285	0.02265732585
78	0.9932088285	0.02182082092
79	0.9932088285	0.02145338325
80	0.992353441	0.0206096065
81	0.9932088285	0.02044287308
82	0.992353441	0.019866941
83	0.992353441	0.01956273724
84	0.992353441	0.01954740066
85	0.992353441	0.01954739714
86	0.992353441	0.01952097471
87	0.992353441	0.01932289778
88	0.9940627651	0.01914652695
89	0.9940627651	0.01883658957
90	0.9940627651	0.01881768153
91	0.9940627651	0.01881529161
92	0.9949152542	0.01878045262
93	0.9949152542	0.01856330526
94	0.9949152542	0.01820118966
95	0.9949152542	0.01807359927
96	0.9949152542	0.01793257826
97	0.9949152542	0.01726203768
98	0.9949152542	0.01722132373
99	0.9957662997	0.01674808002
100	0.9957662997	0.01668340807
101	0.9949152542	0.01661847266
102	0.9949152542	0.01652282533
103	0.9949152542	0.01646363569
104	0.9949152542	0.01646314221
105	0.9949152542	0.01644966397
106	0.9949152542	0.01628109703
107	0.9949152542	0.01627900153
108	0.9949152542	0.01625986152
109	0.9949152542	0.01621791297
110	0.9949152542	0.0162126353
111	0.9949152542	0.016165148
112	0.9949152542	0.01612960704
113	0.9957662997	0.01547092558
114	0.9957662997	0.01536253225
115	0.9957662997	0.01494112299
